Date,Open,High,Low,Close
01/17/2025,"100,311","105,925","99,395","104,768"
01/16/2025,"99,615","100,857","97,336","100,308"
01/15/2025,"96,496","100,707","96,289","99,618"
01/14/2025,"93,557","97,334","93,395","96,504"
01/13/2025,"94,639","95,837","89,325","93,562"
01/12/2025,"94,547","95,351","93,710","94,638"
01/11/2025,"94,673","94,907","93,845","94,547"
01/10/2025,"91,861","95,766","91,653","94,674"
01/09/2025,"93,931","95,331","91,217","91,860"
01/08/2025,"96,466","97,248","92,568","93,929"
01/07/2025,"102,253","102,710","96,130","96,462"
01/06/2025,"98,253","102,497","97,923","102,259"
01/05/2025,"98,590","98,735","97,272","98,252"
01/04/2025,"98,305","98,610","97,560","98,590"
01/03/2025,"97,227","98,937","96,037","98,309"
01/02/2025,"94,588","97,743","94,206","97,228"
01/01/2025,"93,412","94,650","92,782","94,588"
12/31/2024,"94,201","96,098","91,797","93,414"
12/30/2024,"93,668","94,867","91,323","94,202"
12/29/2024,"94,907","95,516","93,209","93,668"
12/28/2024,"94,444","95,123","94,013","94,907"
12/27/2024,"95,452","97,268","93,304","94,448"
12/26/2024,"99,073","99,872","95,104","95,454"
12/25/2024,"97,239","99,254","97,224","99,074"
12/24/2024,"93,029","99,419","93,026","97,242"
12/23/2024,"95,492","96,399","92,403","93,033"
12/22/2024,"97,413","97,523","94,339","95,492"
12/21/2024,"96,376","99,493","95,397","97,413"
12/20/2024,"96,273","98,295","92,175","96,378"
12/19/2024,"100,648","102,734","95,585","96,274"
12/18/2024,"106,734","106,785","100,231","100,636"
12/17/2024,"105,877","108,309","105,520","106,735"
12/16/2024,"103,115","107,812","102,623","105,883"
12/15/2024,"100,729","103,383","100,729","103,114"
12/14/2024,"101,709","102,640","100,624","100,728"
12/13/2024,"99,970","101,909","99,246","101,709"
12/12/2024,"101,427","102,554","99,335","99,960"
12/11/2024,"96,506","101,795","95,747","101,433"
12/10/2024,"96,189","98,278","94,334","96,505"
12/09/2024,"99,864","101,399","96,128","96,187"
12/08/2024,"100,382","100,530","98,767","99,864"
12/07/2024,"101,582","101,615","99,096","100,382"
12/06/2024,"99,137","102,085","92,251","101,581"
12/05/2024,"98,975","103,853","97,658","99,137"
12/04/2024,"95,672","99,219","94,679","98,972"
12/03/2024,"95,675","96,281","93,609","95,674"
12/02/2024,"97,137","98,187","94,491","95,673"
12/01/2024,"97,030","97,567","95,768","97,137"
11/30/2024,"97,416","97,557","96,152","97,030"
11/29/2024,"94,825","98,729","94,825","97,416"
11/28/2024,"96,625","96,712","94,688","94,825"
11/27/2024,"90,981","97,366","90,784","96,626"
11/26/2024,"94,859","95,134","90,755","90,982"
11/25/2024,"96,884","98,966","94,491","94,856"
11/24/2024,"97,828","98,657","95,795","96,884"
11/23/2024,"99,292","99,489","97,256","97,828"
11/22/2024,"98,326","99,768","97,229","99,291"
11/21/2024,"94,377","99,028","93,885","98,334"
11/20/2024,"92,601","94,963","91,517","94,379"
11/19/2024,"91,573","94,039","90,323","92,607"
11/18/2024,"89,636","92,594","88,743","91,574"
11/17/2024,"90,799","91,428","89,432","89,636"
11/16/2024,"91,487","91,881","90,117","90,799"
11/15/2024,"87,568","91,487","86,706","91,487"
11/14/2024,"89,801","91,773","87,563","87,565"
11/13/2024,"89,530","93,445","86,270","89,801"
11/12/2024,"87,105","89,995","85,157","89,525"
11/11/2024,"79,002","87,491","78,553","87,115"
11/10/2024,"76,330","81,074","76,271","79,002"
11/09/2024,"76,775","76,821","75,778","76,330"
11/08/2024,"76,613","77,276","75,554","76,784"
11/07/2024,"76,225","76,952","74,488","76,618"
11/06/2024,"69,442","76,481","68,914","76,232"
11/05/2024,"67,292","70,520","66,807","69,443"
11/04/2024,"68,935","69,438","67,248","67,290"
11/03/2024,"69,504","69,550","67,471","68,935"
11/02/2024,"69,261","69,869","68,835","69,504"
11/01/2024,"69,949","71,588","68,783","69,267"
10/31/2024,"71,824","72,905","69,942","69,948"
10/30/2024,"72,531","72,952","71,425","71,822"
10/29/2024,"69,587","73,595","69,428","72,532"
10/28/2024,"67,750","69,865","67,549","69,588"
10/27/2024,"67,086","67,889","66,858","67,750"
10/26/2024,"66,727","67,264","65,537","67,086"
10/25/2024,"68,218","68,796","65,897","66,726"
10/24/2024,"66,356","68,278","66,262","68,213"
10/23/2024,"67,457","67,788","65,177","66,353"
10/22/2024,"67,732","67,900","66,591","67,457"
10/21/2024,"68,495","69,471","66,824","67,732"
